politica_s_S,componente,teorico,python_media,python_ic95_inf,python_ic95_sup,anylogic
"(0,15)",costo_orden,9.705344949475979,9.717666666666666,9.680141091177061,9.755192242156271,
"(0,15)",costo_mantenimiento,6.13265979467126,6.116095238095238,6.099265775144308,6.132924701046169,
"(0,15)",costo_faltante,1.0419825757860377,1.041607142857143,1.0289628641809168,1.0542514215333691,
"(0,15)",costo_total,16.879987319933274,16.87536904761905,16.830746134206922,16.919991961031176,
"(2,15)",costo_orden,10.490135028347986,10.498238095238095,10.458713849199173,10.537762341277018,
"(2,15)",costo_mantenimiento,6.9549381899865095,6.952345238095238,6.936919975224212,6.967770500966264,
"(2,15)",costo_faltante,0.1689718992306807,0.16791666666666666,0.16172511344031834,0.17410821989301498,
"(2,15)",costo_total,17.614045117565176,17.618499999999997,17.580781294133107,17.656218705866888,
"(2,20)",costo_orden,8.825517896367353,8.838642857142856,8.804619298812712,8.872666415473,
"(2,20)",costo_mantenimiento,9.453031961693213,9.466630952380951,9.446905723554398,9.486356181207505,
"(2,20)",costo_faltante,0.12629548863249404,0.12642857142857142,0.1206363027456264,0.13222084011151644,
"(2,20)",costo_total,18.404845346693058,18.431702380952384,18.392964814421262,18.470439947483506,
"(5,20)",costo_orden,9.705344949475979,9.717666666666666,9.680141091177061,9.755192242156271,
"(5,20)",costo_mantenimiento,10.924263279514053,10.907773809523809,10.890022899954772,10.925524719092845,
"(5,20)",costo_faltante,0.0,0.0,0.0,0.0,
"(5,20)",costo_total,20.62960822899003,20.625440476190477,20.588317083055866,20.662563869325087,
"(5,25)",costo_orden,8.373529389051221,8.382309523809523,8.345950057210954,8.418668990408092,
"(5,25)",costo_mantenimiento,13.429577620456643,13.432619047619047,13.40787656294197,13.457361532296124,
"(5,25)",costo_faltante,0.0,0.0,0.0,0.0,
"(5,25)",costo_total,21.803107009507862,21.814928571428574,21.77248171742293,21.857375425434217,
