rho,metrica,teorico,python_media,python_ic95_inf,python_ic95_sup,anylogic_media,anylogic_ic95_inf,anylogic_ic95_sup,anylogic_n
0.25,L,0.3333333333333333,0.34161400231274314,0.32920416042701395,0.3540238441984723,0.3314607332170361,0.32661423538572854,0.3363072310483437,30
0.25,Lq,0.08333333333333331,0.08636272187236028,0.07843389817874041,0.09429154556598016,0.08195937350192602,0.07913363573792585,0.08478511126592618,30
0.25,W,1.3333333333333333,1.3584125213213198,1.321772094819704,1.3950529478229357,1.3276885149832052,1.3123766318926187,1.3430003980737917,30
0.25,Wq,0.33333333333333326,0.3424535699595289,0.31454180920627267,0.37036533071278516,0.32818194823439034,0.3175810150503605,0.33878288141842017,30
0.25,rho,0.25,0.2552512804403829,0.24924679840716493,0.26125576247360094,0.24950135971511012,0.24692611181431365,0.25207660761590656,30
0.25,p_bloqueo,5.9164567891575885e-31,0.0,0.0,0.0,0.0,0.0,0.0,30
0.5,L,0.9999999999999774,1.004913932507196,0.9604679137228896,1.0493599512915026,1.0059112819455316,0.9861944195775735,1.0256281443134896,30
0.5,Lq,0.4999999999999776,0.5040865958152769,0.4675301649005142,0.5406430267300397,0.5030065589391498,0.4865630243460009,0.5194500935322987,30
0.5,W,1.9999999999999556,2.009706021667105,1.9368195234344285,2.0825925198997814,2.0134834798374235,1.9785275651615937,2.0484393945132533,30
0.5,Wq,0.9999999999999556,1.006499935227604,0.9422637141724317,1.0707361562827764,1.0065541437545107,0.9757241807451186,1.037384106763903,30
0.5,rho,0.4999999999999998,0.500827336691919,0.4916327196281851,0.510021953755653,0.5029047230063817,0.4988698781368444,0.5069395678759189,30
0.5,p_bloqueo,4.440892098500628e-16,0.0,0.0,0.0,0.0,0.0,0.0,30
0.75,L,2.999978338187441,3.0229857172836243,2.8361211781905564,3.209850256376692,2.959391716031435,2.8656918010117725,3.053091631051098,30
0.75,Lq,2.249978444372797,2.2699634089699208,2.0887609297476057,2.451165888192236,2.2125262347141548,2.1225115618272685,2.302540907601041,30
0.75,W,3.9999716839011428,4.011982479120402,3.7859829966601626,4.237981961580641,3.9647459028932905,3.8515522120895493,4.077939593697032,30
0.75,Wq,2.9999716839011428,3.0106816507805614,2.787307327044118,3.2340559745170046,2.9633401890361113,2.8518937579948425,3.07478662007738,30
0.75,rho,0.7499998938146444,0.753022308313702,0.744675079478472,0.761369537148932,0.7468654813172803,0.7418177769062702,0.7519131857282904,30
0.75,p_bloqueo,1.415804742418009e-07,0.0,0.0,0.0,0.0,0.0,0.0,30
1.0,L,25.0,23.27957197836993,20.479675269389706,26.079468687350154,70.10507245173679,55.22591873051816,84.98422617295542,30
1.0,Lq,24.019607843137255,22.305360664372014,19.510624257238042,25.100097071505985,69.11856607697518,54.24187508040071,83.99525707354967,30
1.0,W,25.5,23.645637309109556,20.800787004615945,26.490487613603168,70.12454784627589,55.3228807566664,84.92621493588538,30
1.0,Wq,24.5,22.655527539073027,19.815361276890094,25.49569380125596,69.12921564382239,54.329265154312274,83.9291661333325,30
1.0,rho,0.9803921568627451,0.9742113139979154,0.9673885281565504,0.9810340998392804,0.9865063747616082,0.9830342579454543,0.9899784915777621,30
1.0,p_bloqueo,0.0196078431372549,0.01864931465389599,0.012301487237711333,0.024997142070080646,0.0,0.0,0.0,30
1.25,L,46.00058232370758,44.23030750744743,43.84603536406991,44.61457965082494,1230.4783944382393,1200.7767160804788,1260.1800727959999,30
1.25,Lq,45.00058517823556,43.23211176587595,42.84805898032319,43.61616455142871,1229.4787687457433,1199.7771221271228,1259.1804153643639,30
1.25,W,46.000713634031676,43.59033669714898,42.95509773600122,44.225575658296734,984.2891350889167,961.4139526452589,1007.1643175325746,30
1.25,Wq,45.000713634031676,42.60684006606915,41.978404664182015,43.23527546795628,983.3906035477353,960.5167171762932,1006.2644899191773,30
1.25,rho,0.9999971454720216,0.9981957415715058,0.9976124459228634,0.9987790372201483,0.9996256924958786,0.9994809775516442,0.999770407440113,30
1.25,p_bloqueo,0.2000022836223827,0.19040570363658507,0.1818733360697257,0.19893807120344445,0.0,0.0,0.0,30
