rho,metrica,teorico,python_media,python_ic95_inf,python_ic95_sup,anylogic
0.25,L,0.3333333333333333,0.34161400231274314,0.32920416042701395,0.3540238441984723,
0.25,Lq,0.08333333333333331,0.08636272187236028,0.07843389817874041,0.09429154556598016,
0.25,W,1.3333333333333333,1.3584125213213198,1.321772094819704,1.3950529478229357,
0.25,Wq,0.33333333333333326,0.3424535699595289,0.31454180920627267,0.37036533071278516,
0.25,rho,0.25,0.2552512804403829,0.24924679840716493,0.26125576247360094,
0.25,p_bloqueo,5.9164567891575885e-31,0.0,0.0,0.0,
0.5,L,0.9999999999999774,1.004913932507196,0.9604679137228896,1.0493599512915026,
0.5,Lq,0.4999999999999776,0.5040865958152769,0.4675301649005142,0.5406430267300397,
0.5,W,1.9999999999999556,2.009706021667105,1.9368195234344285,2.0825925198997814,
0.5,Wq,0.9999999999999556,1.006499935227604,0.9422637141724317,1.0707361562827764,
0.5,rho,0.4999999999999998,0.500827336691919,0.4916327196281851,0.510021953755653,
0.5,p_bloqueo,4.440892098500628e-16,0.0,0.0,0.0,
0.75,L,2.999978338187441,3.0229857172836243,2.8361211781905564,3.209850256376692,
0.75,Lq,2.249978444372797,2.2699634089699208,2.0887609297476057,2.451165888192236,
0.75,W,3.9999716839011428,4.011982479120402,3.7859829966601626,4.237981961580641,
0.75,Wq,2.9999716839011428,3.0106816507805614,2.787307327044118,3.2340559745170046,
0.75,rho,0.7499998938146444,0.753022308313702,0.744675079478472,0.761369537148932,
0.75,p_bloqueo,1.415804742418009e-07,0.0,0.0,0.0,
1.0,L,25.0,23.27957197836993,20.479675269389706,26.079468687350154,
1.0,Lq,24.019607843137255,22.305360664372014,19.510624257238042,25.100097071505985,
1.0,W,25.5,23.645637309109556,20.800787004615945,26.490487613603168,
1.0,Wq,24.5,22.655527539073027,19.815361276890094,25.49569380125596,
1.0,rho,0.9803921568627451,0.9742113139979154,0.9673885281565504,0.9810340998392804,
1.0,p_bloqueo,0.0196078431372549,0.01864931465389599,0.012301487237711333,0.024997142070080646,
1.25,L,46.00058232370758,44.23030750744743,43.84603536406991,44.61457965082494,
1.25,Lq,45.00058517823556,43.23211176587595,42.84805898032319,43.61616455142871,
1.25,W,46.000713634031676,43.59033669714898,42.95509773600122,44.225575658296734,
1.25,Wq,45.000713634031676,42.60684006606915,41.978404664182015,43.23527546795628,
1.25,rho,0.9999971454720216,0.9981957415715058,0.9976124459228634,0.9987790372201483,
1.25,p_bloqueo,0.2000022836223827,0.19040570363658507,0.1818733360697257,0.19893807120344445,
